"id","productId","userId","userName","rating","title","content","pros","cons","verified","createdAt"
"rv-gpu-2","gpu-rtx4060","user-rv-gpu-2","Thành Đạt","4","FHD king nhưng 8GB lo ngại","FHD Ultra mọi game 60fps+ nhờ DLSS. Nhưng một số game mới 1440p đã dùng > 8GB VRAM. Nếu budget thêm → lấy 4060 Ti hoặc RX 7700 XT.","[""FHD gaming tuyệt vời"",""NVENC encoder tốt"",""Giá hợp lý""]","[""8GB VRAM"",""1440p hạn chế"",""Bus memory 128-bit hẹp""]","true","2024-01-15"
"rv-gpu-3","gpu-rx7600","user-rv-gpu-3","Phúc Nguyên","4","Best AMD budget","Rasterization ngang RTX 4060, rẻ hơn 500k-1 triệu. FSR 2 cũng tốt. Tuy nhiên không có DLSS 3 Frame Gen.","[""Giá rẻ hơn RTX 4060"",""8GB VRAM GDDR6"",""Rasterization mạnh""]","[""Không DLSS 3"",""Ray Tracing yếu"",""Driver AMD đôi khi có lỗi""]","true","2024-09-01"
"rv-gpu-4","gpu-rtx4070s","user-rv-gpu-4","Việt Hoàng","5","Sweet spot 1440p gaming","RTX 4070 Super 12GB = 1440p Ultra mọi game 60-100fps. DLSS 3 tăng thêm 30-50%. Build 22-25 triệu hoàn hảo.","[""1440p Ultra gaming"",""12GB VRAM đủ"",""DLSS 3 excellent""]","[""Không rẻ (12-13 triệu)"",""4K chỉ medium""]","true","2024-03-18"
"rv-gpu-5","gpu-rtx4070tis","user-rv-gpu-5","Đình Phong","5","16GB VRAM future-proof","4070 Ti Super 16GB VRAM = không lo thiếu VRAM 3-4 năm tới. 1440p Ultra > 100fps. Entry 4K 60fps.","[""16GB VRAM"",""1440p Ultra beast"",""4K capable""]","[""Giá ~16-18 triệu không rẻ"",""Cần PSU 700W+""]","true","2024-08-12"
"rv-gpu-6","gpu-rtx4080s","user-rv-gpu-6","Tuấn Kiệt","5","4K gaming arrived","RTX 4080 Super 16GB chơi 4K Ultra 60-100fps mọi game. DLSS 3 Frame Gen cho Cyberpunk 4K RT > 80fps. Near-4090 performance.","[""4K gaming excellent"",""DLSS 3 incredible"",""16GB VRAM""]","[""Giá ~25 triệu premium"",""Cần PSU 750W+""]","true","2024-07-01"
"rv-gpu-7","gpu-rtx4090","user-rv-gpu-7","Bá Cường","5","ABSOLUTE BEAST","Không có đối thủ. 4K Ultra mọi game > 100fps. 8K gaming possible. AI/ML training beast. Nhưng giá 45-50 triệu...","[""Mạnh nhất thế giới"",""24GB VRAM"",""4K 120fps+""]","[""Giá 45-50 triệu"",""Cần PSU 850W+"",""Kích thước khổng lồ""]","true","2024-10-22"
"rv-gpu-8","gpu-rtx4090","user-rv-gpu-8","Gaming Master","5","Money no object build","Kết hợp với 7800X3D, 4K Ultra 120fps đều kèo. Dùng cho cả AI training Stable Diffusion, 24GB VRAM thoải mái.","[""4K Ultra 120fps+"",""AI/ML capable"",""24GB VRAM future-proof""]","[""45-50 triệu @@"",""3.5-4 slot thick"",""Cần case lớn""]","true","2024-02-14"
"rv-gpu-9","gpu-rx7800xt","user-rv-gpu-9","Hùng Cường","5","AMD 1440p champion","16GB VRAM + giá rẻ hơn RTX 4070 Super = best 1440p value. FSR 2 cũng rất tốt.","[""16GB VRAM giá rẻ"",""1440p native excellent"",""Power efficient hơn 6800 XT""]","[""Không DLSS 3 Frame Gen"",""Ray Tracing yếu hơn NVIDIA"",""Driver đôi khi lỗi""]","true","2024-06-01"
"rv-gpu-10","gpu-rx7900xtx","user-rv-gpu-10","Pro Gamer VN","5","AMD flagship impressive","Gần RTX 4080 performance, rẻ hơn 5-8 triệu. 24GB VRAM! Rasterization excellent.","[""24GB VRAM"",""Giá rẻ hơn RTX 4080"",""1440p/4K rasterization mạnh""]","[""RT performance kém 4080"",""Tốn điện hơn"",""Không DLSS 3""]","true","2024-02-03"
"rv-gpu-11","gpu-rtx4060ti","user-rv-gpu-11","Thái Bình","4","Solid 1440p entry","1440p High 60fps hầu hết game. DLSS 3 tăng lên 80-100fps. 8GB VRAM hơi lo ngại nhưng FHD thì thừa.","[""1440p gaming OK"",""DLSS 3"",""NVENC tốt cho stream""]","[""8GB VRAM (nên lấy 4070 nếu budget thêm)"",""Giá gần 4070""]","true","2024-11-01"
"rv-gpu-12","gpu-gtx1650","user-rv-gpu-12","Budget King","3","Cũ nhưng vẫn OK","GTX 1650 cũ giá 2 triệu vẫn chơi eSports OK. LOL, Valorant, CS2 FHD Medium 60fps+.","[""Siêu rẻ"",""eSports OK"",""Không cần PSU mạnh""]","[""Cũ, không DLSS"",""Game mới AAA chật vật"",""4GB VRAM không đủ""]","true","2024-10-22"
"rv-mb-1","mb-b760-tomahawk","user-rv-mb-1","Đức Mạnh","5","Best B760 board","VRM tốt cho cả i7-14700F. WiFi 6E, 3 khe M.2, USB-C. Giá 4.5 triệu rất xứng đáng.","[""VRM mạnh"",""WiFi 6E"",""3x M.2 slots""]","[""Không OC CPU"",""Giá hơi cao hơn DS3H""]","true","2024-07-01"
"rv-mb-2","mb-b660-ds3h","user-rv-mb-2","Budget Builder","4","Budget king mainboard","Giá 2 triệu, chạy i5-12400F ngon lành. Đủ dùng cho build gaming budget. VRM OK cho CPU non-K.","[""Giá siêu rẻ"",""Đủ cho CPU non-K"",""DDR4 tiết kiệm""]","[""Chỉ 1 M.2 slot"",""VRM yếu cho i7+"",""Không WiFi""]","true","2024-04-02"
"rv-mb-3","mb-b550-tomahawk","user-rv-mb-3","AM4 Fan","5","Best B550 hands down","MSI B550 Tomahawk là best B550. VRM tốt cho cả R9 5950X. 2 M.2, USB-C, LAN 2.5G.","[""VRM mạnh"",""2x M.2"",""Giá hợp lý""]","[""AM4 dead-end"",""Chỉ PCIe 4.0 1 khe""]","true","2024-06-01"
"rv-mb-4","mb-b650-tomahawk","user-rv-mb-4","AM5 Builder","5","AM5 mainstream champion","DDR5, PCIe 5.0 SSD, WiFi 6E. VRM tốt cho R7 7700X. Build quality MSI rất tốt.","[""DDR5 + PCIe 5.0"",""WiFi 6E"",""VRM tốt""]","[""Giá 5 triệu hơi cao"",""PCIe 5.0 chỉ cho SSD""]","true","2024-06-01"
"rv-mb-5","mb-z790-tomahawk","user-rv-mb-5","OC Enthusiast","5","Ép xung beast","Z790 Tomahawk WiFi cho i5-14600K ép 5.5GHz all-core stable. VRM rất mạnh, chạy mát.","[""VRM beast"",""OC CPU + RAM"",""WiFi 6E + BT 5.3""]","[""Giá 6-7 triệu"",""Chỉ cần cho CPU K""]","true","2024-04-22"
"rv-mb-6","mb-x670e-hero","user-rv-mb-6","Dream Builder","5","Ultimate AM5 board","ASUS ROG CROSSHAIR X670E Hero. PCIe 5.0 cho cả GPU + SSD. VRM 18+2 phase cho R9 7950X. Premium build quality.","[""PCIe 5.0 full"",""VRM 18+2 phase"",""BIOS FlashBack"",""WiFi 6E""]","[""Giá 12+ triệu"",""Overkill cho R5 7600""]","true","2024-04-15"
"rv-ram-1","ram-ddr5-6000-corsair","user-rv-ram-1","Tuấn Anh","5","DDR5-6000 EXPO perfect","Enable EXPO, chạy 6000 CL30 ngay. Với 7800X3D perfect sync FCLK 1:1. FPS gaming tăng 5-10% vs JEDEC.","[""EXPO 1 click"",""6000 CL30 sweet spot AM5"",""Heatsink đẹp""]","[""Giá cao hơn DDR4 nhiều""]","true","2024-01-22"
"rv-ram-2","ram-ddr5-5600-kingston","user-rv-ram-2","Hải Đăng","4","Budget DDR5 tốt","Kingston Fury Beast DDR5-5600 giá rẻ nhất DDR5. XMP/EXPO chạy stable. Đủ cho gaming.","[""Giá rẻ nhất DDR5"",""XMP/EXPO stable"",""Chạy tốt trên B760""]","[""Tốc độ chỉ 5600"",""Heatsink đơn giản""]","true","2024-10-01"
"rv-ram-3","ram-ddr4-3600-gskill","user-rv-ram-3","Minh Đức","5","DDR4 GOAT","G.Skill Trident Z Neo DDR4-3600 CL16. AM4 sweet spot. XMP enable chạy luôn, stable game nặng.","[""3600 CL16 = AM4 sweet spot"",""XMP stable"",""RGB đẹp""]","[""DDR4 sắp lỗi thời"",""Giá gần DDR5 entry""]","true","2024-05-20"
"rv-ram-4","ram-ddr5-7200-gskill","user-rv-ram-4","RAM Overclocker","5","DDR5 high-end beast","G.Skill Trident Z5 DDR5-7200 CL34. Benchmark khủng. Intel XMP 3.0 stable. Nhưng giá premium.","[""7200 CL34 extremely fast"",""Samsung ICs"",""XMP 3.0""]","[""Giá rất đắt"",""Không phải mọi board chạy 7200""]","true","2024-07-20"
"rv-ram-5","ram-ddr4-3200-corsair","user-rv-ram-5","Văn Hưng","4","Reliable and affordable","Corsair Vengeance LPX DDR4-3200 CL16. Basic nhưng reliable. Low-profile vừa mọi cooler.","[""Giá rẻ"",""Low-profile"",""XMP stable""]","[""Không RGB"",""Tốc độ baseline""]","true","2024-01-22"
"rv-ssd-1","ssd-990pro-1tb","user-rv-ssd-1","Storage Expert","5","Best PCIe 4.0 SSD","Samsung 990 Pro 1TB: 7450/6900 MB/s, endurance 600TBW, heatsink đi kèm. Cài game load siêu nhanh.","[""Tốc độ #1 PCIe 4.0"",""Endurance cao"",""5 năm BH Samsung""]","[""Giá premium"",""Overkill cho gaming""]","true","2024-09-22"
"rv-ssd-2","ssd-sn770-1tb","user-rv-ssd-2","Budget Storage","5","Best value NVMe","WD SN770 1TB giá 1.5 triệu, 5150/4900 MB/s. Game load time chỉ chậm hơn 990 Pro 1-2 giây. Best value!","[""Giá cực tốt"",""Tốc độ đủ nhanh"",""5 năm BH""]","[""DRAM-less"",""Sustained write giảm khi đầy""]","true","2024-04-15"
"rv-ssd-3","ssd-nv2-500gb","user-rv-ssd-3","First Builder","4","Entry SSD tốt","Kingston NV2 500GB giá < 800k. Đủ cài Windows + vài game. Upgrade lên 1TB NVMe sau.","[""Giá rẻ nhất NVMe"",""Đủ cho OS + game nhẹ"",""M.2 2280 chuẩn""]","[""500GB hết nhanh"",""Tốc độ entry-level""]","true","2024-06-01"
"rv-ssd-4","ssd-t700-2tb","user-rv-ssd-4","Speed Demon","5","PCIe 5.0 INSANE speed","Crucial T700 2TB: 12400/11800 MB/s. Content creation transfer file cực nhanh. Cần heatsink.","[""12400 MB/s read"",""2TB dung lượng"",""PCIe 5.0""]","[""RẤT NÓNG cần heatsink"",""Giá gấp đôi PCIe 4.0"",""Overkill cho gaming""]","true","2024-09-22"
"rv-ssd-5","ssd-870evo-1tb","user-rv-ssd-5","Data Hoarder","4","SATA SSD reliable","Samsung 870 EVO 1TB SATA: 560/530 MB/s. Cho storage thêm, không cần NVMe speed. Reliable.","[""Rẻ, reliable"",""Đủ cho data storage"",""5 năm BH""]","[""SATA = chậm hơn NVMe 10x"",""Cần cáp SATA""]","true","2024-10-22"
"rv-psu-1","psu-rm850x","user-rv-psu-1","PC Builder Pro","5","Gold standard PSU","Corsair RM850x Gold: yên tĩnh (0 RPM fan mode), fully modular, 10 năm BH. Đủ cho i9 + 4090.","[""0 RPM fan mode"",""10 năm BH"",""Full modular""]","[""Giá 3.5 triệu hơi cao""]","true","2024-10-15"
"rv-psu-2","psu-rm650e","user-rv-psu-2","Budget Smart","5","Budget Gold PSU","Corsair RM650e 650W 80+ Gold. Đủ cho i5 + RTX 4060/4060 Ti. Yên tĩnh, modular.","[""Giá hợp lý"",""80+ Gold"",""Modular""]","[""650W có thể hạn chế upgrade GPU tương lai""]","true","2024-08-12"
"rv-psu-3","psu-mwe550","user-rv-psu-3","Budget First","4","Budget Bronze OK","Cooler Master MWE 550W Bronze. Đủ cho build 10 triệu. Bảo hành 5 năm.","[""Giá rẻ nhất Bronze uy tín"",""550W đủ cho mid-range"",""5 năm BH""]","[""Non-modular"",""Bronze hiệu suất thấp hơn Gold""]","true","2024-04-22"
"rv-psu-4","psu-darkpower13","user-rv-psu-4","Silence Lover","5","Ultra silent PSU","be quiet! Dark Power 13 1000W Titanium. Không nghe thấy tiếng quạt. 10 năm BH. Build quality incredible.","[""Titanium 96% hiệu suất"",""Silent operation"",""10 năm BH""]","[""Giá 7+ triệu"",""Overkill cho đa số build""]","true","2024-05-12"
"rv-case-1","case-4000d","user-rv-case-1","Airflow King","5","Best budget airflow case","Corsair 4000D Airflow: mesh front, đi kèm 2 quạt, cable management tốt. Giá 1.5 triệu rất ngon.","[""Mesh front excellent"",""Cable management tốt"",""GPU 360mm clearance""]","[""Chỉ đi kèm 2 quạt"",""Plastic panel bên phải""]","true","2024-07-20"
"rv-case-2","case-o11d-evo","user-rv-case-2","Showcase Builder","5","Showcase dream case","Lian Li O11 Dynamic EVO: 2 mặt kính, cable management space rộng. Build RGB đẹp nhất.","[""2 mặt kính showcase"",""Cable management space rộng"",""Multi layout support""]","[""Giá 3.5-4 triệu"",""Cần nhiều quạt (không đi kèm)"",""Khá lớn""]","true","2024-01-22"
"rv-case-3","case-h5-flow","user-rv-case-3","Clean Builder","5","Clean aesthetic","NZXT H5 Flow: design sạch sẽ, mesh front, cable management dễ. Giá 2 triệu.","[""Design clean đẹp"",""Mesh airflow tốt"",""Cable management dễ""]","[""Chỉ 2 quạt kèm"",""NZXT minimalist có thể không hợp mọi người""]","true","2024-02-28"
"rv-case-4","case-nr200p","user-rv-case-4","SFF Lover","5","Best ITX case","NR200P cho SFF build. Vừa GPU 330mm, cooler 155mm. Mesh panel + glass panel kèm theo.","[""ITX case tốt nhất giá rẻ"",""2 panel options"",""Airflow tốt cho SFF""]","[""Chỉ SFX PSU"",""GPU size hạn chế"",""Lắp khó hơn ATX""]","true","2024-02-03"
"rv-case-5","case-lancool3","user-rv-case-5","Big Build","5","Spacious and airflow","Lian Li Lancool III: rộng rãi, mesh front/top, 4 quạt kèm. Cable management sạch.","[""4 quạt kèm theo"",""Mesh front + top"",""Rộng rãi dễ lắp""]","[""Khá lớn (full tower)"",""Giá 2.5-3 triệu""]","true","2024-07-20"
"rv-cool-1","cool-ak400","user-rv-cool-1","Budget Cool","5","Best budget air cooler","DeepCool AK400 giá 400k mà tản i5-14400F chỉ 65°C gaming. Lắp dễ, thiết kế gọn.","[""Giá siêu rẻ 400k"",""Hiệu năng tốt cho giá"",""Lắp đặt dễ""]","[""Không đủ cho CPU > 125W"",""Quạt hơi ồn ở max""]","true","2024-08-01"
"rv-cool-2","cool-pa120se","user-rv-cool-2","Mid Cooler","5","Thermalright giá sốc","PA120 SE giá 500k hiệu năng ngang tower cooler 1 triệu. 2 quạt, 6 ống đồng. i5/i7 non-K OK.","[""Giá/hiệu năng tuyệt vời"",""2 quạt dual tower"",""LGA 1700 bracket kèm""]","[""Hơi to"",""VA RAM cao""]","true","2024-10-22"
"rv-cool-3","cool-nh-d15","user-rv-cool-3","Silent Master","5","Huyền thoại tản nhiệt","Noctua NH-D15: ngang AIO 280mm mà yên hơn, bền hơn. 6 năm BH. Chromax black version đẹp.","[""Hiệu năng ngang AIO 280"",""Cực yên tĩnh"",""6 năm BH, bền vĩnh viễn""]","[""To, nặng 1.3kg"",""Va RAM cao"",""165mm cần case hỗ trợ""]","true","2024-02-14"
"rv-cool-4","cool-lf2-360","user-rv-cool-4","AIO King","5","Best AIO 360","Arctic Liquid Freezer II 360: hiệu năng AIO #1, giá rẻ nhất 360mm. VRM fan bonus. Silent.","[""Hiệu năng #1 AIO"",""Giá rẻ nhất 360mm"",""VRM fan bonus""]","[""Thiết kế đơn giản (không RGB)"",""Tube dày hơi cứng""]","true","2024-09-22"
"rv-cool-5","cool-kraken360","user-rv-cool-5","LCD Lover","5","LCD AIO đẹp nhất","NZXT Kraken 360 LCD: hiển thị GIF/temp trên pump. Hiệu năng tốt. Nhưng giá 5+ triệu.","[""LCD screen trên pump"",""Hiệu năng tốt"",""NZXT CAM software""]","[""Giá rất cao 5+ triệu"",""LCD có thể lỗi sau vài năm""]","true","2024-07-01"
"rv-mon-1","mon-27-1440p-165","user-rv-mon-1","Gaming Setup","5","1440p 165Hz sweet spot","27"" 1440p 165Hz IPS: perfect cho RTX 4060-4070. Màu đẹp, response nhanh. 3 triệu best value.","[""1440p sharp ở 27\"""",""165Hz smooth"",""IPS màu đẹp""]","[""Không OLED contrast"",""IPS glow ở góc""]","true","2024-05-20"
"rv-mon-2","mon-27-4k-144","user-rv-mon-2","4K Gamer","5","4K 144Hz tuyệt vời","27"" 4K 144Hz cho RTX 4080/4090. Text siêu sharp, game đẹp. HDR600 OK.","[""4K sharp incredible"",""144Hz smooth"",""HDR600""]","[""Cần GPU rất mạnh"",""Giá 8-12 triệu""]","true","2024-10-22"
"rv-mon-3","mon-24-1080p-144","user-rv-mon-3","eSports Pro","4","FHD 144Hz cơ bản","24"" 1080p 144Hz cho eSports: Valorant, CS2. Giá 2 triệu, FreeSync.","[""Giá rẻ"",""FHD eSports OK"",""144Hz smooth""]","[""1080p ở 2024 hơi thấp"",""Không wow effect""]","true","2024-05-01"
"rv-mon-4","mon-27-oled-1440p","user-rv-mon-4","OLED Convert","5","OLED game changer","27"" OLED 1440p 240Hz: contrast vô hạn, 0.1ms GTG, màu perfect. Game dark scene tuyệt vời.","[""OLED contrast infinite"",""0.1ms response"",""240Hz smooth""]","[""Giá 15+ triệu"",""Burn-in risk"",""ABL giảm sáng""]","true","2024-02-03"
"rv-lap-1","laptop-legion-rtx4060","user-rv-lap-1","Laptop Gamer","5","Best gaming laptop 20-25tr","Legion 5 RTX 4060: 140W full power, 16"" 165Hz, build quality tốt. Game FHD Ultra 60-80fps.","[""140W RTX 4060 full power"",""Build quality tốt"",""165Hz screen""]","[""Nặng 2.5kg"",""Pin 4-5h nhẹ, 1-2h gaming"",""Quạt ồn khi gaming""]","true","2024-04-15"
"rv-lap-2","laptop-tuf-rtx4060","user-rv-lap-2","Student Gamer","4","Budget gaming laptop","TUF Gaming RTX 4060 giá 18-20 triệu. Gaming FHD OK. Build nhựa nhưng bền MIL-STD.","[""Giá rẻ nhất RTX 4060"",""MIL-STD 810H bền"",""144Hz screen""]","[""Build nhựa"",""Tản nhiệt TB"",""Pin 4h""]","true","2024-09-15"
"rv-lap-3","laptop-macbook-air-m2","user-rv-lap-3","Ultrabook Fan","5","Best ultrabook ever","MacBook Air M2: pin 15-18h, fanless yên tĩnh, Retina display đẹp. Dev + light work tuyệt vời.","[""Pin 15-18h INSANE"",""Fanless 0 tiếng"",""Retina display đẹp""]","[""Không chơi game Windows"",""RAM soldered"",""Giá 25+ triệu""]","true","2024-02-28"
"rv-kb-1","kb-g-pro-x","user-rv-kb-1","Pro Gamer KB","5","Best gaming keyboard","Logitech G Pro X: hot-swap switch, wireless, compact TKL. eSports pro choice.","[""Hot-swap switch"",""Wireless reliable"",""Compact TKL""]","[""Giá 2.5+ triệu"",""Keycap ABS"",""Software needed""]","true","2024-06-01"
"rv-kb-2","kb-rk-84","user-rv-kb-2","Budget Mech","5","Budget mechanical king","Royal Kludge RK84 giá 800k: 75% layout, hot-swap, wireless + wired. Gateron switches.","[""Giá siêu rẻ"",""Hot-swap"",""Wireless + wired + BT""]","[""Build plastic"",""Keycap mỏng"",""Software TB""]","true","2024-01-15"
"rv-ms-1","mouse-g-pro-superlight","user-rv-ms-1","FPS Gamer","5","Best FPS mouse","Logitech G Pro X Superlight 2: 60g, HERO 2 sensor, 95h battery. eSports standard.","[""60g ultralight"",""95h battery"",""HERO 2 sensor flawless""]","[""Giá 3+ triệu"",""Shape không hợp mọi tay""]","true","2024-03-18"
"rv-ms-2","mouse-deathadder-v3","user-rv-ms-2","Ergo Lover","5","Best ergo wireless","Razer DeathAdder V3 Pro: ergo shape thoải mái, 63g, Focus Pro sensor. Long gaming sessions OK.","[""Ergo shape comfortable"",""63g light"",""90h battery""]","[""Giá 3+ triệu"",""Chỉ có shape ergo""]","true","2024-11-01"
"rv-ms-3","mouse-viper-mini","user-rv-ms-3","Small Hand","5","Best budget lightweight","Razer Viper Mini wired: 61g, optical switches, giá 800k. eSports OK.","[""61g ultralight"",""Giá rẻ"",""Optical switches""]","[""Wired only"",""Sensor cũ"",""Cable không mềm""]","true","2024-01-15"
"rv-hs-1","hs-arctis-nova-pro","user-rv-hs-1","Audio Enthusiast","5","Best gaming headset ever","SteelSeries Arctis Nova Pro Wireless: ANC, dual wireless, Hi-Res Audio. Microphone excellent.","[""ANC noise cancelling"",""Dual wireless (2.4G + BT)"",""Hi-Res Audio DAC""]","[""Giá 7+ triệu RẤT ĐẮT"",""Nặng hơn headset khác""]","true","2024-05-12"
"rv-hs-2","hs-cloud2","user-rv-hs-2","Budget Audio","5","Huyền thoại tai nghe gaming","HyperX Cloud II: comfortable, mic tốt, giá 1.2 triệu. Bền dùng 3+ năm.","[""Comfortable cả ngày"",""Mic chất lượng"",""Giá rẻ bền bỉ""]","[""Wired only"",""Không ANC"",""Bass hơi yếu""]","true","2024-06-15"
"rv-cpu-20","cpu-i5-14400f","user-rv-cpu-20","Phương Nam","5","Upgrade từ i3-12100 lên i5-14400F","Chênh lệch rõ rệt trong Cyberpunk, từ 45fps lên 65fps. Multi-task mượt hơn hẳn nhờ 10 nhân.","[""Nâng cấp đáng giá"",""10C/16T mạnh mẽ"",""Giá hợp lý""]","[""Board B760 DDR5 đắt hơn""]","true","2024-04-02"
"rv-cpu-21","cpu-i5-14400f","user-rv-cpu-21","Hải Nam","4","Good but not great OC","Không ép xung được là nhược điểm duy nhất. Nếu muốn OC → 14600KF + Z790.","[""Hiệu năng stock tốt"",""TDP thấp 65W"",""Cooler budget OK""]","[""Không OC"",""PCIe lanes hạn chế trên B760""]","true","2024-07-20"
"rv-cpu-22","cpu-r7-7800x3d","user-rv-cpu-22","Thành Trung","5","1440p gaming perfection","Pair với RTX 4070 Super, 1440p Ultra mọi game > 80fps. V-Cache thật sự different level.","[""V-Cache = FPS king"",""AM5 future-proof"",""Nhiệt thấp TDP 120W""]","[""Giá 8-9 triệu"",""Multi-thread kém R7 7700X""]","true","2024-07-10"
"rv-cpu-23","cpu-r7-7800x3d","user-rv-cpu-23","Trường Giang","5","Competitive gaming monster","CS2 400fps+, Valorant 500fps+. Cho competitive eSports thì không có đối thủ.","[""eSports FPS highest"",""V-Cache advantage"",""Power efficient""]","[""Streaming + gaming cùng lúc → R9 hoặc i9 tốt hơn""]","true","2024-10-15"
