"id","name","purpose","price","image","cpu","gpu","mainboard","ram","storage","psu","case","cooler","description","rating"
"build-office-10m","PC Văn Phòng 10 Triệu - Premium","office","10000000","/images/builds/office-10m.jpg","Intel Core i5-14400","Tích hợp UHD 730","ASUS TUF GAMING B760-PLUS WiFi","16GB DDR5-5600 (2x8)","Samsung 990 Pro 1TB","Corsair RM650e Gold","NZXT H5 Flow","Thermalright PA120 SE","PC văn phòng premium: i5-14400, DDR5, SSD flagship. Dùng 5-7 năm thoải mái.","4.5"
"build-office-12m","PC Văn Phòng 12 Triệu - Doanh Nghiệp","office","12000000","/images/builds/office-12m.jpg","Intel Core i5-14500","Tích hợp UHD 770","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600 (2x16)","Samsung 990 Pro 1TB","Corsair RM650e Gold","Fractal Design North","Noctua NH-U12S redux","PC doanh nghiệp: 32GB RAM, SSD 1TB, case sang trọng. Chạy ERP, phần mềm nặng.","4.5"
"build-creator-12m","PC Đồ Họa 12 Triệu - Entry Creator","workstation","12000000","/images/builds/creator-12m.jpg","AMD Ryzen 5 5600X","NVIDIA RTX 4060 8GB","MSI MAG B550 TOMAHAWK","32GB DDR4-3200 (2x16)","WD Black SN770 1TB","Corsair RM650e Gold","NZXT H5 Flow","DeepCool AK400","Entry Photoshop, Premiere Pro, After Effects. RTX 4060 CUDA cho render nhanh.","4.3"
"build-creator-15m","PC Đồ Họa 15 Triệu - Photoshop/Premiere","workstation","15000000","/images/builds/creator-15m.jpg","Intel Core i5-14400F","NVIDIA RTX 4060 Ti 8GB","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600 (2x16)","Samsung 990 Pro 1TB","Corsair RM750e Gold","Corsair 4000D Airflow","DeepCool AK620","Photoshop, Lightroom mượt. Premiere Pro edit video FHD timeline lớn. CUDA tăng tốc render.","4.5"
"build-creator-20m","PC Đồ Họa 20 Triệu - 4K Video Editing","workstation","20000000","/images/builds/creator-20m.jpg","AMD Ryzen 7 7700X","NVIDIA RTX 4070 12GB","MSI MAG B650 TOMAHAWK WiFi","64GB DDR5-5600 (2x32)","Samsung 990 Pro 2TB","Corsair RM850x Gold","Lian Li Lancool III","Arctic Liquid Freezer II 240","Edit video 4K mượt, 64GB RAM cho timeline dài. Blender, DaVinci Resolve. NVENC encoding nhanh.","4.6"
"build-creator-25m","PC Đồ Họa 25 Triệu - Professional","workstation","25000000","/images/builds/creator-25m.jpg","AMD Ryzen 9 7900X","NVIDIA RTX 4070 Ti Super 16GB","ASUS TUF GAMING B650-PLUS WiFi","64GB DDR5-6000 (2x32)","Samsung 990 Pro 2TB + WD Blue 4TB HDD","Corsair RM1000x Gold","Corsair 5000D Airflow","Arctic Liquid Freezer II 360","Professional creator: 12 nhân cho multi-tasking, 4070 Ti Super 16GB VRAM cho 3D/video 4K.","4.7"
"build-creator-30m","PC Đồ Họa 30 Triệu - Studio Grade","workstation","30000000","/images/builds/creator-30m.jpg","Intel Core i7-14700K","NVIDIA RTX 4080 Super 16GB","MSI MAG Z790 TOMAHAWK WiFi","64GB DDR5-6000 (2x32)","Crucial T500 2TB PCIe 5.0 + WD Blue 4TB HDD","Corsair RM1000x Gold","Lian Li O11 Dynamic EVO","Corsair iCUE H150i 360","Studio grade: RTX 4080 Super cho 3D render nhanh, CUDA cores mạnh. PCIe 5.0 SSD cho đọc/ghi file lớn.","4.8"
"build-creator-40m","PC Đồ Họa 40 Triệu - High-End Workstation","workstation","40000000","/images/builds/creator-40m.jpg","AMD Ryzen 9 7950X","NVIDIA RTX 4080 Super 16GB","ASUS ROG STRIX X670E-E Gaming WiFi","128GB DDR5-5600 (4x32)","Crucial T700 2TB PCIe 5.0 + Samsung 990 Pro 4TB","Seasonic PRIME TX-1000 Titanium","Corsair 7000D Airflow","NZXT Kraken 360","HIGH-END workstation: 128GB RAM cho AE compositions khổng lồ, 16C/32T cho render farm. Dual SSD 6TB.","4.9"
"build-creator-50m","PC Đồ Họa 50 Triệu - RTX 4090 Creator","workstation","50000000","/images/builds/creator-50m.jpg","AMD Ryzen 9 7950X","NVIDIA GeForce RTX 4090 24GB","ASUS ROG CROSSHAIR X670E HERO","128GB DDR5-6000 (4x32)","Crucial T700 2TB + Samsung 990 Pro 4TB + WD Red 8TB NAS","be quiet! Dark Power 13 1000W Titanium","Lian Li O11D XL","EK-AIO 360 D-RGB","ULTIMATE CREATOR: RTX 4090 24GB VRAM cho 8K editing, massive 3D scenes, AI training. 128GB + 14TB storage.","5"
"build-stream-15m","PC Streaming 15 Triệu - Entry Streamer","gaming","15000000","/images/builds/stream-15m.jpg","AMD Ryzen 5 5600X","NVIDIA RTX 4060 8GB","MSI MAG B550 TOMAHAWK","16GB DDR4-3600 (2x8)","WD Black SN770 1TB","Corsair RM650e Gold","NZXT H5 Flow","DeepCool AK620","Stream FHD 60fps + game FHD medium. NVENC encoder tốt trên RTX 4060. Entry streamer.","4.3"
"build-stream-20m","PC Streaming 20 Triệu - Mid Streamer","gaming","20000000","/images/builds/stream-20m.jpg","AMD Ryzen 7 7700X","NVIDIA RTX 4060 Ti 8GB","MSI MAG B650 TOMAHAWK WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 1TB","Corsair RM750e Gold","Lian Li Lancool II Mesh","Arctic Liquid Freezer II 240","Stream FHD + game 1440p medium. 32GB RAM cho OBS + game + Chrome. 8C/16T đa nhiệm.","4.5"
"build-stream-25m","PC Streaming 25 Triệu - Pro Streamer","gaming","25000000","/images/builds/stream-25m.jpg","AMD Ryzen 7 7800X3D","NVIDIA RTX 4070 Super 12GB","ASUS TUF GAMING B650-PLUS WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 2TB","Corsair RM850x Gold","Lian Li Lancool III","Arctic Liquid Freezer II 360","Stream 1080p60 + game 1440p Ultra. V-Cache cho FPS gaming cao, NVENC 4070S stream mượt.","4.7"
"build-stream-35m","PC Streaming 35 Triệu - Ultimate Streamer","gaming","35000000","/images/builds/stream-35m.jpg","Intel Core i9-14900K","NVIDIA RTX 4080 Super 16GB","MSI MAG Z790 TOMAHAWK WiFi","64GB DDR5-6000 (2x32)","Samsung 990 Pro 2TB + WD Blue 4TB HDD","Corsair RM1000x Gold","Corsair 5000D Airflow","NZXT Kraken 360 LCD","Stream 4K + game 4K simultaneously. 24C/32T chạy mọi thứ. 64GB RAM cho professional streaming setup.","4.8"
"build-student-5m","PC Sinh Viên 5 Triệu - Cơ bản","office","5000000","/images/builds/student-5m.jpg","AMD Ryzen 3 4100","GTX 1650 4GB","Gigabyte A520M DS3H","8GB DDR4-3200","Kingston A400 480GB SATA","Thermaltake Smart 600W","Case Generic ATX","Box AMD","PC sinh viên cơ bản: học online, code nhẹ, chơi game eSports. Tiết kiệm chi phí.","3.8"
"build-student-7m","PC Sinh Viên 7 Triệu - Đa năng","office","7000000","/images/builds/student-7m.jpg","AMD Ryzen 5 5600G","Tích hợp Vega 7","MSI MAG B550M MORTAR WiFi","16GB DDR4-3200 (2x8)","Kingston NV2 500GB NVMe","Cooler Master MWE 550W Bronze","Cooler Master NR200P","Box AMD","Sinh viên IT: APU + 16GB RAM, code IDE mượt, chạy VM nhẹ. WiFi onboard tiện lợi.","4.2"
"build-student-8m","PC Sinh Viên 8 Triệu - IT/Code","office","8000000","/images/builds/student-8m.jpg","AMD Ryzen 5 5600","NVIDIA GTX 1650 4GB","MSI MAG B550M MORTAR WiFi","16GB DDR4-3200 (2x8)","WD Black SN770 500GB","Corsair CV550 Bronze","Phanteks Eclipse G360A","ID-Cooling SE-214-XT","Sinh viên CNTT: code nhanh, chạy Docker, compile project. GTX 1650 cho CUDA nhẹ.","4.2"
"build-student-10m","PC Sinh Viên 10 Triệu - Engineering","workstation","10000000","/images/builds/student-10m.jpg","Intel Core i5-12400F","NVIDIA RTX 4060 8GB","Gigabyte B660M DS3H DDR4","16GB DDR4-3200 (2x8)","WD Black SN770 1TB","Corsair RM650e Gold","NZXT H5 Flow","DeepCool AK400","Sinh viên kỹ thuật: AutoCAD, SolidWorks, MATLAB. RTX 4060 cho rendering + CUDA compute.","4.4"
"build-nas-10m","NAS Server 10 Triệu - Home NAS","workstation","10000000","/images/builds/nas-10m.jpg","Intel Core i3-14100","Tích hợp UHD 730","ASUS TUF GAMING B760M-PLUS WiFi","16GB DDR5-4800","2x WD Red Plus 4TB NAS + Kingston NV2 500GB (OS)","Seasonic Focus GX-650 Gold","Fractal Design Meshify 2 Mini","Box Intel","Home NAS: 8TB RAID 1 mirror cho backup gia đình. Plex media server. Chạy 24/7 tiết kiệm điện.","4.3"
"build-nas-15m","NAS Server 15 Triệu - Pro NAS","workstation","15000000","/images/builds/nas-15m.jpg","Intel Core i5-14400","Tích hợp UHD 730","ASUS TUF GAMING B760-PLUS WiFi","32GB DDR5-5600","4x WD Red Plus 4TB NAS + Kingston NV2 1TB (OS/cache)","Seasonic Focus GX-750 Gold","Corsair 5000D Airflow","Noctua NH-U12S redux","Pro NAS: 16TB RAID 5, SMB/NFS file server, Docker containers. Chạy Nextcloud, Jellyfin.","4.5"
"build-ai-30m","PC AI/ML 30 Triệu - Entry Deep Learning","workstation","30000000","/images/builds/ai-30m.jpg","AMD Ryzen 7 7700X","NVIDIA RTX 4070 Ti Super 16GB","MSI MAG B650 TOMAHAWK WiFi","64GB DDR5-6000 (2x32)","Samsung 990 Pro 2TB","Corsair RM850x Gold","Corsair 5000D Airflow","Arctic Liquid Freezer II 360","Entry deep learning: PyTorch/TensorFlow training, 16GB VRAM cho models medium. CUDA compute mạnh.","4.5"
"build-ai-50m","PC AI/ML 50 Triệu - RTX 4090 Training","workstation","50000000","/images/builds/ai-50m.jpg","AMD Ryzen 9 7950X","NVIDIA GeForce RTX 4090 24GB","ASUS ROG CROSSHAIR X670E HERO","128GB DDR5-5600 (4x32)","Crucial T700 2TB + Samsung 990 Pro 4TB","be quiet! Dark Power 13 1000W Titanium","Corsair 7000D Airflow","EK-AIO 360 D-RGB","RTX 4090 24GB VRAM cho training LLMs, Stable Diffusion, large models. 128GB RAM cho dataset lớn.","4.9"
"build-ai-80m","PC AI/ML 80 Triệu - Dual GPU Research","workstation","80000000","/images/builds/ai-80m.jpg","AMD Ryzen 9 7950X","2x NVIDIA RTX 4090 24GB (NVLink)","ASUS ROG CROSSHAIR X670E HERO","128GB DDR5-6000 (4x32)","2x Crucial T700 2TB PCIe 5.0","Seasonic PRIME TX-1600 1600W Titanium","Corsair 7000D Airflow","Custom Loop","DUAL RTX 4090 = 48GB VRAM, NVLink. Research-grade AI/ML. Train large language models, GANs.","5"
"build-sff-10m","PC Mini-ITX 10 Triệu - Compact Gaming","gaming","10000000","/images/builds/sff-10m.jpg","AMD Ryzen 5 5600","NVIDIA RTX 4060 8GB (ITX model)","Gigabyte B550M DS3H","16GB DDR4-3200 (2x8)","WD Black SN770 1TB","Corsair SF750 Platinum SFX","Cooler Master NR200P","Noctua NH-U12S redux","Mini-ITX gaming: nhỏ gọn để bàn, mang đi LAN party. RTX 4060 trong case NR200P.","4.3"
"build-sff-20m","PC Mini-ITX 20 Triệu - Powerful SFF","gaming","20000000","/images/builds/sff-20m.jpg","AMD Ryzen 7 7700","NVIDIA RTX 4070 Super 12GB","ASUS ROG STRIX B650E-I Gaming WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 2TB","Corsair SF750 Platinum SFX","Cooler Master NR200P","Noctua NH-D15S","SFF mạnh mẽ: RTX 4070S + R7 7700 trong case nhỏ. ITX board B650E WiFi 6E.","4.6"
"build-sff-35m","PC Mini-ITX 35 Triệu - Ultimate SFF","gaming","35000000","/images/builds/sff-35m.jpg","AMD Ryzen 7 7800X3D","NVIDIA RTX 4080 Super 16GB","ASUS ROG STRIX B650E-I Gaming WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 2TB + WD SN770 2TB","Corsair SF750 Platinum SFX","Cooler Master NR200P MAX","AIO 280mm (đi kèm NR200P MAX)","ULTIMATE SFF: RTX 4080 Super + 7800X3D trong case mini. NR200P MAX có sẵn AIO 280mm + PSU 850W.","4.8"
"build-htpc-5m","HTPC 5 Triệu - Home Theater","office","5000000","/images/builds/htpc-5m.jpg","AMD Ryzen 5 5600G","Tích hợp Vega 7","Gigabyte A520M DS3H","8GB DDR4-3200","Kingston NV2 500GB","Corsair CV550 Bronze","Case Slim ITX/mATX","Low-profile AMD","HTPC cho phòng khách: xem phim 4K, Netflix, YouTube. Yên tĩnh, nhỏ gọn, tiết kiệm điện.","4"
"build-htpc-8m","HTPC 8 Triệu - 4K Media Center","office","8000000","/images/builds/htpc-8m.jpg","AMD Ryzen 7 5700G","Tích hợp Vega 8","MSI MAG B550M MORTAR WiFi","16GB DDR4-3200 (2x8)","Samsung 870 EVO 1TB SATA","Corsair SF750 Platinum SFX","Cooler Master NR200P","Noctua NH-L9a-AM4","4K Media Center: Plex server, game nhẹ, phòng khách. WiFi + 16GB RAM. SSD SATA yên tĩnh.","4.3"
"build-hackintosh-15m","Hackintosh 15 Triệu - macOS Workstation","workstation","15000000","/images/builds/hack-15m.jpg","Intel Core i5-14400F","AMD Radeon RX 7600 8GB","Gigabyte B760M GAMING X AX","32GB DDR5-5600","Samsung 990 Pro 1TB","Corsair RM750e Gold","NZXT H5 Flow","DeepCool AK620","Hackintosh: chạy macOS Sonoma + Windows dual boot. AMD GPU tương thích macOS. Logic Pro, Final Cut Pro.","4.2"
"build-hackintosh-25m","Hackintosh 25 Triệu - Pro Hackintosh","workstation","25000000","/images/builds/hack-25m.jpg","Intel Core i7-14700K","AMD Radeon RX 7800 XT 16GB","Gigabyte Z790 AORUS ELITE AX","64GB DDR5-5600","Samsung 990 Pro 2TB + WD SN770 2TB","Corsair RM850x Gold","Lian Li Lancool III","Arctic Liquid Freezer II 360","Pro Hackintosh: macOS + Windows, 7800 XT 16GB native macOS support. 64GB RAM cho creative pro.","4.5"
"build-white-20m","PC Trắng 20 Triệu - White Gaming Build","gaming","20000000","/images/builds/white-20m.jpg","Intel Core i5-14600KF","ASUS TUF RTX 4060 Ti OC White","ASUS ROG STRIX Z790-A Gaming WiFi (White)","32GB DDR5 Corsair Vengeance White","Samsung 990 Pro 1TB","Corsair RM750e White","NZXT H7 Flow White","NZXT Kraken 240 White","ALL WHITE BUILD! PC trắng toàn bộ, aesthetic cực đẹp. Z790-A trắng + case NZXT trắng.","4.6"
"build-white-35m","PC Trắng 35 Triệu - Premium White","gaming","35000000","/images/builds/white-35m.jpg","AMD Ryzen 7 7800X3D","ASUS ROG STRIX RTX 4070 Ti Super OC White","ASUS ROG STRIX B650E-I (White)","32GB DDR5 G.Skill Trident Z5 RGB White","Samsung 990 Pro 2TB","Corsair RM1000x White","Lian Li O11 Dynamic EVO White","Corsair iCUE H150i White 360","PREMIUM WHITE: Lian Li O11 trắng, ROG 4070TiS trắng, 360mm AIO trắng. Showcase build trắng tinh.","4.8"
"build-rgb-15m","PC RGB 15 Triệu - RGB Gaming","gaming","15000000","/images/builds/rgb-15m.jpg","AMD Ryzen 5 7500F","AMD Radeon RX 7600 8GB","MSI MAG B650M MORTAR WiFi","16GB DDR5 TeamGroup Delta RGB","WD Black SN770 1TB","Corsair RM650e Gold","Lian Li Lancool II Mesh RGB","DeepCool LS520 AIO 240mm RGB","RGB EVERYWHERE! Case RGB, AIO RGB, RAM RGB, quạt RGB. Party lights gaming PC.","4.3"
"build-rgb-30m","PC RGB 30 Triệu - Ultimate RGB Showcase","gaming","30000000","/images/builds/rgb-30m.jpg","AMD Ryzen 7 7800X3D","ASUS ROG STRIX RTX 4070 Ti Super OC","ASUS ROG STRIX X670E-E Gaming WiFi","32GB DDR5 G.Skill Trident Z5 RGB 6400MHz","Samsung 990 Pro 2TB","Corsair RM850x Gold","Lian Li O11 Dynamic EVO","Corsair iCUE H150i Elite LCD XT","ULTIMATE RGB: Lian Li O11D showcase, LCD AIO, RGB RAM, ROG STRIX everything. Aura Sync toàn bộ.","4.8"
"build-silent-15m","PC Yên Tĩnh 15 Triệu - Silent Gaming","gaming","15000000","/images/builds/silent-15m.jpg","Intel Core i5-14400F","NVIDIA RTX 4060 8GB","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600","Samsung 990 Pro 1TB","be quiet! Pure Power 12 M 750W Gold","be quiet! Pure Base 500DX","be quiet! Dark Rock 4","SILENT BUILD: be quiet! case + cooler + PSU. Chạy yên tĩnh <30dB. Gaming mà không nghe tiếng máy.","4.5"
"build-silent-25m","PC Yên Tĩnh 25 Triệu - Ultra Silent","gaming","25000000","/images/builds/silent-25m.jpg","AMD Ryzen 7 7800X3D","NVIDIA RTX 4070 Super 12GB","MSI MAG B650 TOMAHAWK WiFi","32GB DDR5-6000","Samsung 990 Pro 2TB","be quiet! Straight Power 12 850W Platinum","be quiet! Pure Base 500DX","be quiet! Dark Rock Pro 5","ULTRA SILENT: Toàn bộ be quiet! Premium. Platinum PSU fanless mode. Dark Rock Pro 5 gần như không tiếng.","4.7"
"build-valorant-8m","PC Valorant 8 Triệu - 144fps FHD","gaming","8000000","/images/builds/valorant-8m.jpg","Intel Core i3-12100F","AMD Radeon RX 7600 8GB","Gigabyte B660M DS3H DDR4","16GB DDR4-3200","Kingston NV2 500GB","Cooler Master MWE 550W Bronze","Case ATX Basic","Box Intel","Cấu hình tối ưu Valorant 144fps+ FHD Low. Budget nhưng đủ mạnh cho competitive gaming.","4.2"
"build-autocad-15m","PC AutoCAD 15 Triệu - Thiết kế Kỹ Thuật","workstation","15000000","/images/builds/autocad-15m.jpg","Intel Core i5-14400","NVIDIA RTX 4060 8GB","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600","Samsung 990 Pro 1TB","Corsair RM650e Gold","NZXT H5 Flow","DeepCool AK400","AutoCAD, Revit, SolidWorks, SketchUp. i5-14400 có iGPU backup. RTX 4060 CUDA cho rendering.","4.4"
"build-blender-25m","PC Blender 25 Triệu - 3D Rendering","workstation","25000000","/images/builds/blender-25m.jpg","AMD Ryzen 9 7900X","NVIDIA RTX 4070 Ti Super 16GB","MSI MAG B650 TOMAHAWK WiFi","64GB DDR5-6000","Samsung 990 Pro 2TB","Corsair RM850x Gold","Corsair 5000D Airflow","Arctic Liquid Freezer II 360","Blender Cycles GPU rendering nhanh. 16GB VRAM cho scenes lớn. 12C/24T CPU cho CPU rendering.","4.6"
"build-music-12m","PC Music Production 12 Triệu - Studio","workstation","12000000","/images/builds/music-12m.jpg","AMD Ryzen 7 5700X","AMD Radeon RX 7600 8GB","MSI MAG B550 TOMAHAWK","32GB DDR4-3200","Samsung 990 Pro 1TB","Corsair RM650e Gold","be quiet! Pure Base 500DX","be quiet! Dark Rock 4","Music production: FL Studio, Ableton, Pro Tools. Yên tĩnh cho recording. 32GB RAM cho VST plugins.","4.4"
